mode,run_dir,eps_target,eps_achieved,delta,sampling_rate,steps,noise_multiplier,optimal_rdp_order,best_val_acc,test_acc
miniimagenet_iid_1shot,mini-imagenet_1_2_0.01_48_5_0_iid_1shot_eps16_seed890454,16.0,15.999999999999996,1e-05,0.016,62,0.41943530300023146,2.0,0.3800000082949797,0.32066666666666666
miniimagenet_iid_1shot,mini-imagenet_1_2_0.01_48_5_0_iid_1shot_eps1_seed890454,1.0,1.0,1e-05,0.016,62,1.3370394853928198,14.0,0.3123333398004373,0.26866666666666666
miniimagenet_iid_1shot,mini-imagenet_1_2_0.01_48_5_0_iid_1shot_eps2_seed890454,2.0,1.9999999999999993,1e-05,0.016,62,0.986064071552056,8.0,0.33900000736117364,0.2816666666666667
miniimagenet_iid_1shot,mini-imagenet_1_2_0.01_48_5_0_iid_1shot_eps4_seed890454,4.0,3.9999999999999925,1e-05,0.016,62,0.7331733538260083,4.5,0.35033334111173947,0.289
miniimagenet_iid_1shot,mini-imagenet_1_2_0.01_48_5_0_iid_1shot_eps8_seed890454,8.0,7.999999999999995,1e-05,0.016,62,0.56045310949044,3.0,0.3596666745096445,0.3016666666666667
miniimagenet_iid_1shot,mini-imagenet_1_2_0.01_48_5_0_iid_1shot_nodp_seed890454,inf,,,,,,,0.38800000901023546,0.3343333333333333
miniimagenet_noniid_1shot,mini-imagenet_5_2_0.01_48_5_0_noniid_1shot_eps16_seed890454,16.0,15.999999999999993,1e-05,0.004,250,0.37708922736951694,2.0,0.3556666745990515,0.296
miniimagenet_noniid_1shot,mini-imagenet_5_2_0.01_48_5_0_noniid_1shot_eps1_seed890454,1.0,1.0,1e-05,0.004,250,1.110524928968584,13.0,0.3030000064025323,0.281
miniimagenet_noniid_1shot,mini-imagenet_5_2_0.01_48_5_0_noniid_1shot_eps2_seed890454,2.0,2.0,1e-05,0.004,250,0.8241441975866324,7.0,0.3123333396514257,0.297
miniimagenet_noniid_1shot,mini-imagenet_5_2_0.01_48_5_0_noniid_1shot_eps4_seed890454,4.0,3.999999999999751,1e-05,0.004,250,0.6292277283252811,4.5,0.32166667367021246,0.276
miniimagenet_noniid_1shot,mini-imagenet_5_2_0.01_48_5_0_noniid_1shot_eps8_seed890454,8.0,7.999999999999995,1e-05,0.004,250,0.4923108381419563,3.0,0.3376666743059953,0.30366666666666664
miniimagenet_noniid_1shot,mini-imagenet_5_2_0.01_48_5_0_noniid_1shot_nodp_seed890454,inf,,,,,,,0.4503333440174659,0.3893333333333333
